DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1982-12-01,138.9,19830300.0,138.1,19821200.0,138.9,19830300.0
1982-12-02,139.85,19830300.0,138.85,19821200.0,139.85,19830300.0
1982-12-03,140.0,19830300.0,139.15,19821200.0,140.0,19830300.0
1982-12-06,144.45,19830300.0,143.35,19821200.0,144.45,19830300.0
1982-12-07,144.6,19830300.0,143.75,19821200.0,144.6,19830300.0
1982-12-08,142.1,19830300.0,141.35,19821200.0,142.1,19830300.0
1982-12-09,140.3,19830300.0,139.7,19821200.0,140.3,19830300.0
1982-12-10,139.55,19830300.0,139.25,19821200.0,139.55,19830300.0
1982-12-13,141.25,19830300.0,140.5,19821200.0,141.25,19830300.0
1983-03-02,153.95,19830600.0,152.55,19830300.0,153.95,19830600.0
1983-03-03,154.6,19830600.0,153.25,19830300.0,154.6,19830600.0
1983-03-04,155.0,19830600.0,153.65,19830300.0,155.0,19830600.0
1983-03-07,154.85,19830600.0,153.6,19830300.0,154.85,19830600.0
1983-03-08,152.25,19830600.0,151.1,19830300.0,152.25,19830600.0
1983-03-09,153.8,19830600.0,152.85,19830300.0,153.8,19830600.0
1983-03-10,151.6,19830600.0,150.95,19830300.0,151.6,19830600.0
1983-03-11,151.85,19830600.0,151.25,19830300.0,151.85,19830600.0
1983-06-02,165.55,19830900.0,164.45,19830600.0,165.55,19830900.0
1983-06-03,165.75,19830900.0,164.65,19830600.0,165.75,19830900.0
1983-06-06,166.65,19830900.0,165.45,19830600.0,166.65,19830900.0
1983-06-07,162.7,19830900.0,161.9,19830600.0,162.7,19830900.0
1983-06-08,161.5,19830900.0,160.95,19830600.0,161.5,19830900.0
1983-06-09,162.65,19830900.0,161.9,19830600.0,162.65,19830900.0
1983-06-10,163.3,19830900.0,162.5,19830600.0,163.3,19830900.0
1983-06-13,166.4,19830900.0,165.35,19830600.0,166.4,19830900.0
